metrics,LR,MR,LR_ups,MR_ups
avg_MAE,126.69639915865926,217.74596358364184,17.405819293096883,100.57134500627487
med_MAE,121.64973830149586,234.04461937791905,13.952544665495143,94.44704360164666
avg_MSE,156.92285928272813,235.14122259661946,17.405819293096883,100.57134500627487
med_MSE,147.11250863680402,234.04461937791905,13.952544665495143,94.44704360164666
avg_NMSE,0.05179181942410403,0.0637932695443031,0.017122085905941636,0.041572737753574944
med_NMSE,0.05076188323316355,0.06416982727419504,0.016324235800671875,0.041443583695734684
avg_SSIM,0.9033793323968634,0.93838855955872,0.9951922425825204,0.9832474306371605
med_SSIM,0.9174599526498751,0.9503001648940815,0.9955419594104473,0.9844802650436286
avg_PSNR,26.462832882681596,24.602663067869912,36.43469191604217,28.68723431060605
med_PSNR,26.47393698693066,24.437820649065984,36.68435730344208,28.379024165610105
